sigma_A_over_sigma_omega,K_over_sigma_omega,mean_abs_drift_over_sigma_omega,positive_fraction,negative_fraction
3.333333333,0.1818181818,0.1774665304,0.096,0.087
3.393939394,0.1818181818,0.1745841655,0.0952,0.086
3.454545455,0.1818181818,0.1714719652,0.094,0.0846
3.515151515,0.1818181818,0.1685162329,0.0928,0.083
3.575757576,0.1818181818,0.1653781858,0.0914,0.0814
3.636363636,0.1818181818,0.1626091535,0.0886,0.0804
3.696969697,0.1818181818,0.159860826,0.0862,0.0796
3.757575758,0.1818181818,0.1572623183,0.085,0.078
3.818181818,0.1818181818,0.1548776009,0.084,0.0768
3.878787879,0.1818181818,0.152585237,0.083,0.0756
3.939393939,0.1818181818,0.1504227176,0.0828,0.0746
4,0.1818181818,0.1482334902,0.082,0.074
4.060606061,0.1818181818,0.1458812524,0.0806,0.072
4.121212121,0.1818181818,0.1437729115,0.0796,0.0712
4.181818182,0.1818181818,0.1416710087,0.077,0.0708
4.242424242,0.1818181818,0.1396294664,0.0754,0.07
4.303030303,0.1818181818,0.1376433944,0.0746,0.0692
4.363636364,0.1818181818,0.1354984576,0.0734,0.0676
4.424242424,0.1818181818,0.1335975964,0.0716,0.0666
4.484848485,0.1818181818,0.1318812177,0.0708,0.066
4.545454545,0.1818181818,0.1301776826,0.0696,0.0646
4.606060606,0.1818181818,0.1286521992,0.0686,0.0636
4.666666667,0.1818181818,0.127081983,0.068,0.0628
4.727272727,0.1818181818,0.1256282107,0.0674,0.0618
4.787878788,0.1818181818,0.1241839123,0.0668,0.0614
4.848484848,0.1818181818,0.1226090658,0.0662,0.0606
4.909090909,0.1818181818,0.1211199574,0.0648,0.0596
4.96969697,0.1818181818,0.1197265333,0.064,0.0584
5.03030303,0.1818181818,0.1184568676,0.0632,0.0574
5.090909091,0.1818181818,0.117166841,0.0624,0.0568
5.151515152,0.1818181818,0.1159114209,0.062,0.0564
5.212121212,0.1818181818,0.1146784176,0.0608,0.0556
5.272727273,0.1818181818,0.1135779731,0.0602,0.055
5.333333333,0.1818181818,0.112487133,0.0596,0.054
5.393939394,0.1818181818,0.1115003753,0.0592,0.0538
5.454545455,0.1818181818,0.1104095942,0.0588,0.0536
5.515151515,0.1818181818,0.1094591062,0.058,0.0534
5.575757576,0.1818181818,0.1084396367,0.0578,0.0532
5.636363636,0.1818181818,0.1074002978,0.0576,0.053
5.696969697,0.1818181818,0.1062911111,0.0568,0.0526
5.757575758,0.1818181818,0.1051201254,0.056,0.052
5.818181818,0.1818181818,0.1040196841,0.0552,0.0514
5.878787879,0.1818181818,0.1029776089,0.0546,0.0504
5.939393939,0.1818181818,0.1020692837,0.054,0.05
6,0.1818181818,0.1011539295,0.0532,0.0494
0,0.2424242424,0.803251524,0.4894,0.5102
0.06060606061,0.2424242424,0.7978837253,0.472,0.493
0.1212121212,0.2424242424,0.7858938251,0.4468,0.472
0.1818181818,0.2424242424,0.7698394838,0.4304,0.4526
0.2424242424,0.2424242424,0.7505718647,0.4114,0.4348
0.303030303,0.2424242424,0.7292633957,0.3924,0.4184
0.3636363636,0.2424242424,0.7070264805,0.3772,0.3996
0.4242424242,0.2424242424,0.6837170358,0.3614,0.3844
0.4848484848,0.2424242424,0.6599914515,0.344,0.3688
0.5454545455,0.2424242424,0.6368600055,0.333,0.3544
0.6060606061,0.2424242424,0.6129306535,0.3182,0.3394
0.6666666667,0.2424242424,0.5901845862,0.3048,0.323
0.7272727273,0.2424242424,0.5679452217,0.2928,0.3102
0.7878787879,0.2424242424,0.5458010285,0.2804,0.295
0.8484848485,0.2424242424,0.5259704762,0.269,0.2806
0.9090909091,0.2424242424,0.5074880529,0.2578,0.271
0.9696969697,0.2424242424,0.4895260436,0.2484,0.2622
1.03030303,0.2424242424,0.4723070399,0.2418,0.2498
1.090909091,0.2424242424,0.4560021829,0.2342,0.2414
1.151515152,0.2424242424,0.4401996383,0.2244,0.2332
1.212121212,0.2424242424,0.4248005152,0.2156,0.2252
1.272727273,0.2424242424,0.4105252951,0.209,0.2174
1.333333333,0.2424242424,0.3963442132,0.2026,0.2088
1.393939394,0.2424242424,0.3827169827,0.1954,0.2014
1.454545455,0.2424242424,0.3693979824,0.1892,0.1922
1.515151515,0.2424242424,0.3574505458,0.1818,0.186
1.575757576,0.2424242424,0.3462398663,0.1762,0.1796
1.636363636,0.2424242424,0.3359504469,0.1712,0.1734
1.696969697,0.2424242424,0.3264093835,0.1664,0.1678
1.757575758,0.2424242424,0.3168269764,0.1634,0.1606
1.818181818,0.2424242424,0.3075583033,0.1582,0.1546
1.878787879,0.2424242424,0.2993485128,0.1558,0.1502
1.939393939,0.2424242424,0.2913699685,0.1502,0.1462
2,0.2424242424,0.2841568373,0.1474,0.143
2.060606061,0.2424242424,0.2766929977,0.144,0.1398
2.121212121,0.2424242424,0.2697385211,0.141,0.1378
2.181818182,0.2424242424,0.2627430417,0.1374,0.1346
2.242424242,0.2424242424,0.2560324224,0.1328,0.1308
2.303030303,0.2424242424,0.2499652744,0.1296,0.1272
2.363636364,0.2424242424,0.2440833134,0.1258,0.1228
2.424242424,0.2424242424,0.2388353457,0.1238,0.1202
2.484848485,0.2424242424,0.2335779129,0.122,0.1168
2.545454545,0.2424242424,0.2288208669,0.1206,0.1136
2.606060606,0.2424242424,0.2238588898,0.118,0.1116
2.666666667,0.2424242424,0.2192008514,0.1154,0.109
2.727272727,0.2424242424,0.2149048598,0.1126,0.107
2.787878788,0.2424242424,0.210739178,0.1106,0.1062
2.848484848,0.2424242424,0.2065325821,0.1084,0.1042
2.909090909,0.2424242424,0.2025835159,0.1076,0.1018
2.96969697,0.2424242424,0.1984664993,0.1056,0.0996
3.03030303,0.2424242424,0.1943644074,0.104,0.0976
3.090909091,0.2424242424,0.1904675566,0.1024,0.0946
3.151515152,0.2424242424,0.1869883095,0.1006,0.0926
3.212121212,0.2424242424,0.1835707384,0.0988,0.0902
3.272727273,0.2424242424,0.1804435173,0.0978,0.0884
3.333333333,0.2424242424,0.177504722,0.096,0.0872
3.393939394,0.2424242424,0.174529213,0.095,0.0858
3.454545455,0.2424242424,0.1714703433,0.0944,0.0844
3.515151515,0.2424242424,0.1685283786,0.093,0.083
3.575757576,0.2424242424,0.1654022571,0.0912,0.0812
3.636363636,0.2424242424,0.1625468634,0.0884,0.0802
3.696969697,0.2424242424,0.1598816237,0.0868,0.0798
3.757575758,0.2424242424,0.1571393814,0.085,0.0778
3.818181818,0.2424242424,0.1548451373,0.084,0.0772
3.878787879,0.2424242424,0.152497109,0.083,0.0756
3.939393939,0.2424242424,0.1503812402,0.083,0.0746
4,0.2424242424,0.1481417387,0.0816,0.0738
4.060606061,0.2424242424,0.1458558825,0.0806,0.072
4.121212121,0.2424242424,0.1437369,0.0796,0.0712
4.181818182,0.2424242424,0.1415716056,0.0768,0.0706
4.242424242,0.2424242424,0.1395537974,0.0756,0.0698
4.303030303,0.2424242424,0.1375695825,0.0746,0.0688
4.363636364,0.2424242424,0.1354627448,0.0734,0.0676
4.424242424,0.2424242424,0.133556093,0.0718,0.0664
4.484848485,0.2424242424,0.1318185345,0.0706,0.0658
4.545454545,0.2424242424,0.1301460776,0.0694,0.0642
4.606060606,0.2424242424,0.1286341983,0.0684,0.0636
4.666666667,0.2424242424,0.1271001658,0.068,0.0628
4.727272727,0.2424242424,0.1256296032,0.0674,0.062
4.787878788,0.2424242424,0.1241308455,0.067,0.0612
4.848484848,0.2424242424,0.1225742989,0.0662,0.0602
4.909090909,0.2424242424,0.1210916803,0.0652,0.0594
4.96969697,0.2424242424,0.1196611399,0.0638,0.058
