sigma_A_over_omega,K_over_omega,positive_fraction,negative_fraction
5.939393939,0.1818181818,0.1348,0
6,0.1818181818,0.1334,0
0,0.2424242424,1,0
0.06060606061,0.2424242424,1,0
0.1212121212,0.2424242424,1,0
0.1818181818,0.2424242424,1,0
0.2424242424,0.2424242424,1,0
0.303030303,0.2424242424,0.9994,0
0.3636363636,0.2424242424,0.9972,0.0012
0.4242424242,0.2424242424,0.9882,0.0054
0.4848484848,0.2424242424,0.9722,0.004
0.5454545455,0.2424242424,0.9492,0.006
0.6060606061,0.2424242424,0.9188,0.0118
0.6666666667,0.2424242424,0.884,0.0122
0.7272727273,0.2424242424,0.8422,0.0096
0.7878787879,0.2424242424,0.8092,0.01
0.8484848485,0.2424242424,0.7758,0.0086
0.9090909091,0.2424242424,0.7412,0.0104
0.9696969697,0.2424242424,0.7024,0.0046
1.03030303,0.2424242424,0.675,0.0034
1.090909091,0.2424242424,0.6458,0.0012
1.151515152,0.2424242424,0.6178,0.0004
1.212121212,0.2424242424,0.5928,0
1.272727273,0.2424242424,0.5706,0
1.333333333,0.2424242424,0.5474,0
1.393939394,0.2424242424,0.5246,0
1.454545455,0.2424242424,0.5042,0
1.515151515,0.2424242424,0.486,0
1.575757576,0.2424242424,0.47,0
1.636363636,0.2424242424,0.4556,0
1.696969697,0.2424242424,0.441,0
1.757575758,0.2424242424,0.4264,0
1.818181818,0.2424242424,0.4096,0
1.878787879,0.2424242424,0.3984,0
1.939393939,0.2424242424,0.3862,0
2,0.2424242424,0.3756,0
2.060606061,0.2424242424,0.3672,0
2.121212121,0.2424242424,0.3564,0
2.181818182,0.2424242424,0.3458,0
2.242424242,0.2424242424,0.3362,0
2.303030303,0.2424242424,0.328,0
2.363636364,0.2424242424,0.318,0
2.424242424,0.2424242424,0.3116,0
2.484848485,0.2424242424,0.3038,0
2.545454545,0.2424242424,0.2954,0
2.606060606,0.2424242424,0.2892,0
2.666666667,0.2424242424,0.2832,0
2.727272727,0.2424242424,0.2766,0
2.787878788,0.2424242424,0.2708,0
2.848484848,0.2424242424,0.2658,0
2.909090909,0.2424242424,0.2604,0
2.96969697,0.2424242424,0.2556,0
3.03030303,0.2424242424,0.2512,0
3.090909091,0.2424242424,0.247,0
3.151515152,0.2424242424,0.2424,0
3.212121212,0.2424242424,0.2396,0
3.272727273,0.2424242424,0.2334,0
3.333333333,0.2424242424,0.2296,0
3.393939394,0.2424242424,0.2252,0
3.454545455,0.2424242424,0.2222,0
3.515151515,0.2424242424,0.2188,0
3.575757576,0.2424242424,0.2148,0
3.636363636,0.2424242424,0.2106,0
3.696969697,0.2424242424,0.2076,0
3.757575758,0.2424242424,0.2034,0
3.818181818,0.2424242424,0.2004,0
3.878787879,0.2424242424,0.1976,0
3.939393939,0.2424242424,0.1938,0
4,0.2424242424,0.1924,0
4.060606061,0.2424242424,0.1888,0
4.121212121,0.2424242424,0.1862,0
4.181818182,0.2424242424,0.1842,0
4.242424242,0.2424242424,0.1824,0
4.303030303,0.2424242424,0.1798,0
4.363636364,0.2424242424,0.1776,0
4.424242424,0.2424242424,0.1748,0
4.484848485,0.2424242424,0.173,0
4.545454545,0.2424242424,0.1704,0
4.606060606,0.2424242424,0.169,0
4.666666667,0.2424242424,0.1658,0
4.727272727,0.2424242424,0.1638,0
4.787878788,0.2424242424,0.1622,0
4.848484848,0.2424242424,0.161,0
4.909090909,0.2424242424,0.1594,0
4.96969697,0.2424242424,0.1578,0
5.03030303,0.2424242424,0.1564,0
5.090909091,0.2424242424,0.1552,0
5.151515152,0.2424242424,0.154,0
5.212121212,0.2424242424,0.1522,0
5.272727273,0.2424242424,0.1514,0
5.333333333,0.2424242424,0.1494,0
5.393939394,0.2424242424,0.1478,0
5.454545455,0.2424242424,0.147,0
5.515151515,0.2424242424,0.1456,0
5.575757576,0.2424242424,0.1444,0
5.636363636,0.2424242424,0.1422,0
5.696969697,0.2424242424,0.1412,0
5.757575758,0.2424242424,0.1398,0
5.818181818,0.2424242424,0.1374,0
5.878787879,0.2424242424,0.1368,0
5.939393939,0.2424242424,0.1352,0
6,0.2424242424,0.1334,0
0,0.303030303,1,0
0.06060606061,0.303030303,1,0
0.1212121212,0.303030303,1,0
0.1818181818,0.303030303,1,0
0.2424242424,0.303030303,1,0
0.303030303,0.303030303,0.9996,0
0.3636363636,0.303030303,0.9978,0.001
0.4242424242,0.303030303,0.9922,0.0026
0.4848484848,0.303030303,0.9768,0.0054
0.5454545455,0.303030303,0.9582,0.011
0.6060606061,0.303030303,0.9316,0.017
0.6666666667,0.303030303,0.9024,0.021
0.7272727273,0.303030303,0.8656,0.0306
0.7878787879,0.303030303,0.8332,0.025
0.8484848485,0.303030303,0.8052,0.0332
0.9090909091,0.303030303,0.7538,0.0172
0.9696969697,0.303030303,0.7124,0.0112
1.03030303,0.303030303,0.6828,0.0078
